がち,な,のに
が,良い,気
も,サーバー,の
滅ん,でる,よう
よう,な,制約
さんまで,金,かけ
整理,し,てる
言え,ば,古文
ので,今,踏ん張ら
ここ,は,確か
か,？,@EOS@
良かっ,た,〜
は,赤い,です
取れ,なく,なる
的,な,意味合い
に,なっ,た
労働,を,し
webdriver,とか,selenium
書ける,よう,に
燃え,てる,の
の,こと,思い出し
MTG,の,書記
向こう,に,干渉
200位,ぴったり,だ
業務,知識,が
@BOS@,やり,たい
に,投げ,とい
と,ぱすじゃないんですか,？
まし,た,@EOS@
マシ,な,謎
使っ,て,みる
Google,は,学位
@BOS@,落ち込ん,で
@BOS@,お,布団
を,考える,。
する,場合,再帰
@BOS@,綺麗,で
めっちゃ,取り,ます
は,混ん,で
複数,の,星
は,ある,な
マジで,体育,の
て,動い,てる
ない,な,@EOS@
の,話,で
欲しい,けど,思い
圧出,過ぎ,です
！,？,@EOS@
。,チェス,は
て,いる,@EOS@
書き込む,処理,”
の,力,は
練習,が,し
せっかく,なら,君
が,あり,ます
。,それで,一週間
@BOS@,20,.
で,良く,ない
豊か,さ,が
事故,っ,た
本当に,やり,たい
方,が,いい
@BOS@,IO,だけ
し,ね,@EOS@
大,アリ,、
で,苦し紛れ,の
の,モニタリング,値
ない,やつ,@EOS@
可,処分,自室
でき,そう,@EOS@
Julia,以外,だ
の,が,優しさ
異常,er,は
の,ディティール,が
って,そんな,大胆
認識,し,た
た,暁,に
の,どれ,か
も,ある,。
て,おけ,ば
だし,…,…
生き,て,き
たい,に,なる
贈り,たい,です
親会社,に,相談窓口
ます,か,、
、,むしろ,めちゃめちゃ
ブラックジョーク,は,八つ当たり
が,そもそも,綺麗
も,4位,に
抜き出す,部分,欲しい
@BOS@,だから,やっぱ
チャンネル,設定,オフ
大事,な,もの
ー,なんか,うち
Java,とか,は
@BOS@,怯える,→
研究室,で,しか
けど,経営,やる
行け,た,！
の,みなさん,は
が,わか,ない
提出,です,@EOS@
とい,て,もらえれ
と,思っ,て
は,切ら,れ
とか,あり,ませ
たまに,人間,的
てる,メンヘラ,マッチングアプリ
です,対戦,よろしくお願いします
組織,が,会社
、,それ,は
雑魚,しか,い
専門,知,が
みたい,な,@EOS@
言う,。,私たち
と,思う,@EOS@
傾向,が,見え
@BOS@,バグ,修正
あ,、,持っ
言葉,に,なら
脳内,の,セロトニン
@BOS@,えっ,…
問題,な,の
て,も,成り立つ
です,けど,@EOS@
の,ビタミン,DIN
は,個人,の
で,いい,か
良い,と,言わ
作っ,て,き
リフレックス,抜き,ます
駄目,な,ケース
前,に,手土産
て,マジで,良い
必要,という,話
死,な,ので
@BOS@,東京,って
まで,ある,@EOS@
が,1,/
で,異常,で
@BOS@,よく,ある
ざす,、,とりま
こと,やる,@EOS@
が,良い,と
@BOS@,ちょい,今
な,ん,です
感じ,です,か
という,やつ,です
ある,より,確定
ってな,ん,です
の,は,辛い
３,と,互換性
@BOS@,ぼく,は
ーーー,）,。
管理,に,置い
こと,が,溜まっ
@BOS@,>,視覚
せ,てる,@EOS@
と,思う,@EOS@
とか,クラス,の
まず,お絵かき,を
当たっ,て,びっくり
くる,ところ,じゃん
た,っけ,？
という,概念,自体
が,カッコ,いい
変わり,たく,ない
魔,が,バン
も,何,も
れる,の,も
まあ,待て,、
の,が,指定
ながら,飲ん,で
し,ない,だろ
@BOS@,理解,でき
んで,output,も
考え,て,失敗
て,くれ,て
に,よく,人
教養,は,共有
発生,する,話
消費,し,て
シビア,な,感じ
話せる,だけ,で
〇,通り,を
な,ん,です
たい,ん,です
た,よ,@EOS@
@BOS@,1500,行
どういう,ところ,が
そういう,対象,じゃなくて
考え,られ,ない
実際,の,結果
か,？,@EOS@
的,な,ところ
ほんとに,ぷよぷよ,過ぎる
だろ,う,@EOS@
を,欲する,の
全て,の,標準
、,受け止め,て
。,労働,が
ぜ,って,言い
@BOS@,モニター,見つめ
@BOS@,ライブラリ,読み込む
@BOS@,が,、
うち,は,能力
と,幸せ,も
箇所,に,結集
なんか,使い,て
それ,は,ぼく
能力,の,価値
悪,夢見,て
いい,？,@EOS@
ガチコロナ,で,動け
愚者,は,経験
泣い,ちゃう,ん
感じ,も,ある
印象,付け,たい
…,…,みたい
そんな,なっ,たら
あげ,たい,の
よ,。,まじ
任せる,人,が
もっと,先,に
さ,せ,つつ
重量,あたり,一番
理解,でき,ない
ヤバ,ない,です
だ,と,思っ
…,…,ぼく
線画,に,する
です,？,@EOS@
疲れ,みたい,な
た,人,だ
の,かも,@EOS@
？,しかも,ちゃんと
無い,と,詰み
ほり,ドリル,で
くらい,かも,？
血,が,回る
ん,です,が
通り,で,愛さ
終わり,方,が
@BOS@,あー,なんか
で,月,2
に,成果物,に
方,が,いい
持っ,て,い
セロトニン,、,メラトニン
場所,で,あっ
な,すぎ,て
に,複製,さ
て,も,なんで
能動,的,に
もう,泣き,そう
し,て,ぼく
を,見つけ,た
が,いる,か
人,が,経験
完了,し,た
分かり,ます,@EOS@
、,素晴らしい,わ
が,大きい,方
その,結果,が
、,force,push
入っ,て,ます
は,ない,し
かも,？,@EOS@
怪し,そう,@EOS@
@BOS@,やっ,たら
に,なっ,た
tmux,とか,使い
上,で,騙し
、,何,に
送っ,た,ケーキ
と,か,です
のに,…,…
の,筈,な
方,が,優しい世界
@BOS@,布団,で
5月,でし,た
が,ええ,よ
隠し,て,た
コース,やっ,てる
に,潜り込み,まし
に,何,を
応援,し,て
与え,合う,コミュニケーション
さ,そう,@EOS@
ね,ｗ,。
…,勿体,ねえ
コンパイル,する,だけ
を,増やす,こと
ナイス,アイデア,な
か,も,しれ
に,言え,ば
人,な,ので
ブチギレ,て,ちゃんと
ため,の,溜飲
みたい,だ,@EOS@
@BOS@,うわ,ーーーー
やり,ましょ,う
し,て,ある
、,メリークリスマス,です
ある,わけ,じゃん
@BOS@,そこ,まで
な,んで,そういう
ない,部分,を
が,どういう,責務
計算,は,サーバー
マークダウン,と,マーメイド
？,みたい,な
のみ,で,28
でも,いい,けど
分かる,の,まだ
この,世界,は
。,良,さ
まあ,リスク,ある
と,良い,です
@BOS@,局所,解
が,苦しく,て
じゃ,ない,です
は,勝て,ない
@BOS@,それ,を
戦争,とか,そんな
に,し,て
の,方,が
良く,て,おすすめ
食,の,備蓄
が,高,そう
に,信じ,ない
でも,小さい,頃
慌て,てる,か
て,良い,@EOS@
だ,と,まず
処理,の,塊
囲ま,れ,て
相談,し,つつ
現代,において,は
ん,です,か
に,なり,まし
@BOS@,しゃきしゃき,にゃんこ
体調,ヤバ,そう
てか,元,が
@BOS@,ペース,配分
て,み,て
@BOS@,競,プロ
違い,が,ある
に,複雑,な
まし,た,@EOS@
いる,なら,この
分,が,経理部門
それ,は,もう
意味,が,ある
なり,ます,よ
見,て,違い
、,ご飯,食べる
@BOS@,おけ,おけ
で,なけれ,ば
欲,を,持っ
…,はず,@EOS@
て,いる,クラス
の,も,JIT
ぼく,は,記憶力
辞め,た,)
と,仲良く,す
案,が,一つ
@BOS@,郷土料理,の
い,た,はず
流し,ながら,英語
人権,が,手
た,かも,。
、,了解,です
言わ,れ,まし
じゃあ,atcoder,も
に,生き,てる
違う,よ,ね
に,気力,使い
思考,を,検閲
じゃなくて,自分,が
）,って,わけ
妄想,せ,ず
感覚,だ,と
で,、,それ
対人,だ,から
ちゃう,ん,です
共感,する,だろ
公開,すれ,ば
人,が,居
せ,てる,場合
人間,を,処罰
いる,か,、
input,.,txt
て,くれ,て
その,強,さ
、,なるほど,、
で,瞑想,する
も,、,考え方
と,決まっ,て
null,を,渡し
のっぺり,し,て
ローグライト,な,ので
@BOS@,サウナ,だ
いっぱい,ある,な
し,ます,けど
QED,、,だっ
頭痛,が,…
そう,な,感じ
キャッシュ,が,豊富
ます,か,？
結構,長い,時間
てる,ので,回転
@BOS@,JavaScript,は
腹,を,切ら
か,、,チェック
本質,情報,な
か,な,@EOS@
を,学習,し
は,任せる,人
たら,大体,わかる
@BOS@,小さい,の
なら,イクス,系列
…,（,闇
に,干渉,し
最低限,の,労力
三角測量,テスト,って
辞める,タイプ,で
すぐ,に,修正
って,言わ,れる
、,奉仕,な
←,不正解,@EOS@
争い,に,なり
シャワー,浴びる,わ
もう,なんか,正規表現
最低賃金,は,あり
た,会話,で
@BOS@,マカ,IN
は,ない,@EOS@
も,馬鹿,やっ
良い,と,思う
ぜひ,ぜひ,、
を,生じる,モノアミン
すぎる,！,@EOS@
」,が,とても
じゃ,ん,たま
と,思い,まし
中級,者,を
だ,な,って
れ,たら,流石
ぼく,は,めちゃめちゃ
し,た,？
編集,できる,よう
てか,欠勤,じゃなくて
それでも,良い,と
やめ,た,ほう
人,が,多い
し,て,も
人,黒,出る
奴,含め,て
ます,、,これ
た,けど,よく
て,くれる,なら
ブル,アカ,の
人間,が,好き
しん,だ,と
@BOS@,視覚,思考
@BOS@,python,とかいう
じゃっ,た,けど
より,相手,が
に,学士,相当
の,解説,し
@BOS@,なるほど,…
始める,。,@EOS@
よ,？,@EOS@
一応,学務,だけ
対策,し,たい
過去,の,時点
は,ミカ,と
とか,で,いける
に,なっ,てる
マクロ,),やる
の,景品,？
申し,ます,。
勤務,とか,で
←,いいね！,@EOS@
て,なく,て
よう,な,もん
つつ,働かせ,て
生贄,に,専門
を,やる,理由
ん,です,けど
全て,を,省い
ジョーク,で,も
で,最大限,闘う
て,ます,@EOS@
能力,の,向上
さん,と,長話
準備,で,1
ハッピーエンド,に,なる
間,に,あんまり
も,全く,同じ
を,抑え,きれ
@BOS@,母親,は
てる,から,良い
の,サポート,が
@BOS@,ノブレスオブリージュ,っす
暗黙の了解,で,一応
ぼく,を,犯罪者
方,する,ん
方,が,占星術
お,ーーー,いいね
口座,必要,だ
者,だ,。
、,実装,力
なんて,一切,なく
が,答え,に
@BOS@,Julia,の
何,を,言っ
。,フォロワー,って
じゃあ,詰み,かも
あり,ます,が
@BOS@,自分,が
やり,たい,こと
と,もう,なんか
カス,と,CUDA
て,くれ,そう
来る,に,越し
ざる,を,得
神秘,的,な
る,可能性,も
の,映画,が
数,枚,で
形,です,ねえ
@BOS@,要するに,これ
てる,、,仕様
たい,ん,よ
余っ,てる,人間
ドロドロ,の,共依存
方,が,安全
シェル,→,事前
、,プライベート,だ
も,結果,を
はい,、,QED
綺麗,で,良く
できる,と,思っ
なっちゃった,。,@EOS@
人,なら,、
キャラ,なんか,なあ
こと,です,よ
@BOS@,あー,字牌
として,、,はみ出し
が,1.2倍,難しく
@BOS@,やっぱ,上
鍵,が,かかっ
を,募集,し
が,均一,化
つける,機能,足し
慌て,てる,…
う,、,どっち
できる,程度,に
成長,は,な
@BOS@,vpn,も
余程,捻くれ,て
てる,とき,に
な,。,面白かっ
見,た,とき
よう,に,しよ
ない,？,@EOS@
さ,れ,てる
から,一番,要望
@BOS@,勝敗,の
か,？,？
この,辺,まで
資料,欲しい,っす
食事,という,贅沢
コンテスト,？,の
人,だ,と
くれ,ない,と
見る,たび,に
う,けど,@EOS@
当事者,から,すれ
活気,ある,→
きみ,は,もう
た,こと,ある
無い,こと,に
な,ん,です
。,14,:
か,くらい,あり
の,こと,一般
し,て,返す
て,く,技術
実質,白ひげ,@EOS@
来,ねえ,か
が,、,見当たん
んで,この,前
に,結構,拘束
昔,の,有名
わけ,です,ね
っていう,の,やめ
れる,バイナリ,で
を,共有,できる
の,対象,です
ブロック,し,て
な,やつ,は
時,って,どこ
スネーク,ケース,が
理解,でき,なかっ
は,人間力,とか
@BOS@,あと,楽しい
ちゃっ,た,か
!,seen,[
けど,linux,の
と,思っ,た
背理法,を,やっ
箱,出し,て
投げ,まくら,れ
な,…,…
を,さ,せ
ホット,な,領域
@BOS@,最初,(
よ,、,格
ぼく,は,さんす
もらっ,てる,なら
(,で,も
宗教法人,が,優遇
合っ,て,も
が,専門,知
そもそも,全員,そう
た,と,言える
なっ,てる,だけ
は,ミス,ん
た,…,…
れる,側,だっ
持っ,て,た
を,どう,し
だ,と,どう
AC,の,プレゼン
ほう,が,つよい
はず,。,まあ
ん,。,世界
です,か,ね
で,遊び呆け,て
まあ,Java,書ける
何,か,に
@BOS@,評価関数,の
見,られる,@EOS@
の,って,視覚
AI,の,人
作り,ます,@EOS@
で,引,張
た,はい,の
社員,に,する
、,わざわざ,話す
ので,(,これ
→,生贄,（
違う,の,か
思う,ん,だ
よう,に,する
@BOS@,間違っ,てる
で,あっ,て
重く,見る,か
@BOS@,腰,が
な,やつ,だけ
バイナリ,で,、
の,って,短く
勝ち,目,だけ
し,て,ない
なっ,た,と
ちょっと,づつ,傷つける
人間,は,力
られ,ない,@EOS@
大事,な,ん
いい,？,@EOS@
これ,は,マジ
NHK,解約,代理
向け,ば,読む
生活費,で,月
と,誰,でも
と,なっ,た
き,た,ので
ので,寝,ます
て,き,まし
向上,によって,依頼者
て,くれ,た
し,て,くれ
て,欲しい,ね
早く,て,何より
で,コンテナ,化
ルボックス,忘れ,て
は,？,トリコ
て,た,携帯
め,ちゃ,雑
クビ,に,なっ
は,聞い,て
なる,ほど,誘う
こと,です,よ
に,し,た
さ,れ,て
真,の,マクロ
@BOS@,もはや,誰
使っ,て,は
@BOS@,労使,折半
の,資料,なんか
資格,取ら,ん
根,が,シンプル
者,です,？
を,注い,で
人狼,と,勝手
過ぎる,、,22時
でき,なかっ,た
@BOS@,特定,の
人事,の,人
@BOS@,感覚,の
し,て,～
右,の,ギットマーククリック
親,に,ボコ
認識,って,こと
呪っ,て,下さい
ゆとり,ある,環境
@BOS@,おけ,、
な,って,感じ
編み出し,た,自重
見,たら,休職
た,！,もう
不要,),@EOS@
問題,を,図
仕方,が,異常
なら,クラス,が
が,並ん,でる
あー,もう,こういう
@BOS@,よっぽど,導火線
B,の,一
やっ,て,、
けど,チェックボックス,も
き,た,な
布団,で,歌詞
良い,です,が
@BOS@,んで,、
の,ほう,が
@BOS@,23k,と
本,か,な
決め,ず,辞める
の,タイトル,は
@BOS@,刑務所,の
思っ,て,書い
の,場合,は
じゃ,ねえ,か
も,筋,は
@BOS@,ピクオリ,とかいう
Tシャツ,作る,くらい
@BOS@,この,用語
無理,。,。
う,から,休ま
中途,な,ので
かなり,生まれつき,らしい
いる,かも,だ
です,よ,@EOS@
@BOS@,そもそも,な
か,？,@EOS@
の,確率,の
無料,でも,使える
という,理解,で
たら,付き合っ,て
た,っぽく,ぼく
相手,：,。
打たれ強さ,で,言っ
てる,的,な
で,も,漫画
で,難しく,て
ゲージ,消費,し
に,やる,誠実
、,なんか,治っ
た,時代,だっ
こと,も,元々
近く,の,人間
技,の,豊富
感覚,な,んで
一旦,OK,@EOS@
折れ,そう,@EOS@
公式,ドキュメント,読み
とき,は,なぜ
@BOS@,輪郭,線
ツール,見,て
でき,なく,て
取ら,せる,やつ
ごめん,Google,は
です,ねえ,…
〜,偏頭痛,か
仮定,で,あれ
文法,構築,し
@BOS@,この,辺
見,たら,人間
です,か,？
に,する,まで
python,は,やっぱ
今,から,あり
これ,に,やれ
ます,…。,@EOS@
な,区分け,ある
人,が,多けれ
に,。,回線
、,どこ,まで
変,な,ので
@BOS@,rust,って
ゲーム,好き,だ
何,し,て
共有,できる,という
己,に,証明
かわいい,かわいい,@EOS@
ん,で,良い
欲,(？),が
問題,やろ,なあ
@BOS@,なん,かほ
か,な,@EOS@
合わ,なかっ,た
せ,ん,か
けど,直近,の
Julia,と,相性補完
です,よ,ね
が,視界,に
食べ,てる,ところ
おお,…,勿体
本体,は,毎回
dom,を,一旦
見える,スキル,範囲
さ,せる,かって
で,争う,の
@BOS@,二,次元
安定,より,時間
れ,たり,する
いい,？,。
やっ,たげる,@EOS@
良,さ,そう
か,定期的,に
@BOS@,さっき,から
以上,です,@EOS@
国,が,一番
ーーー,思っ,た
する,みたい,な
て,ない,です
超,軽く,て
れ,た,惣菜
の,いっぱい,ある
です,よ,ね
カフェイン,以外,の
起き,まし,た
@BOS@,有酸素運動,なら
ブラックボックス,に,できる
使っ,て,失敗
た,けど,もう
思い,ます,@EOS@
@BOS@,競,プロ
前,の,意図
で,は,あり
今,まで,どう
、,そこ,に
あー,6,ヶ月
くらい,な,ので
の,flask,で
な,マジで,@EOS@
聞い,とい,て
て,理解,でき
垢,全部,she
カフェイン,は,それぞれ
なら,使っ,て
んで,、,そこ
で,2,つ
公開,さ,れ
な,差し迫っ,て
伝え,ください,。
っす,ね,@EOS@
なる,っしょ,@EOS@
標準偏差,S,に対して
かも,含め,て
ルーター,→,pc
思考,なら,クラス
ドキュメント,読み,まし
この,世界,こんな
生合成,経路,の
@BOS@,特定,の
て,き,まし
で,ある,必要
空白,で,コミット
API,だ,ね
ます,か,？
ます,ね,@EOS@
@BOS@,我々,は
そもそも,、,もう
かも,です,@EOS@
と,思う,@EOS@
ちゃっ,た,やつ
.*,mate,作る
名前,を,伏せ
うーむ,、,応募
だ,よ,ね
思い,まし,た
みたい,な,の
ぼく,が,転職
を,入れ,た
22時,以降,に
の,解像度,高い
おもい,ます,@EOS@
push,で,いける
気,を,つけ
おっ,け,、
調べ,た,限り
見せ,て,終わり
技量,に,振っ
的,な,やつ
何より,！,@EOS@
各所,で,ボヤ騒ぎ
ド,デカ,地雷
に,なんか,失敗
拒否,で,草
に,なり,ませ
！,！,@EOS@
そう,です,けど
短く,し,たら
効き,にくい,こと
なかっ,たら,聞い
@BOS@,どう,し
検索,に,出
@BOS@,あ,ーーーーーー
？,。,@EOS@
ただ,文意,を
助け,て,。
ので,無駄,に
てる,っぽい,んで
ちょっと,心,弱っ
か,、,成功
みたい,な,ところ
医者,が,言え
かなり,キモい,機序
、,ごめんなさい,承知
さらに,その,優位
どの,問題,が
見,て,思っ
これ,で,いかが
食べる,ので,待っ
@BOS@,あ,、
その,ため,に
点数,を,出す
と,見つかる,かも
ね,！,！
あれ,バグ,なん
を,やっ,て
みたい,な,やつ
そっち,で,も
@BOS@,ですが,、
ほう,が,いい
なる,みたい,な
は,AI,の
自前,の,pyscript
そう,だ,な
オーバーヘッド,か,@EOS@
えっち,で,ヤバい
な,親近,感
白黒,の,どっち
@BOS@,昔,の
社内,の,利用
形,で,決まっ
と,する,が
て,ます,か
は,見,た
それ,自体,が
atcoder,と,漫画
とか,し,たい
@BOS@,でも,牌効率
も,プログラム,本体
た,ん,です
てる,から,勧め
すれ,ば,良い
気,が,し
入っ,てる,@EOS@
的,な,部分
ぼく,も,馬鹿
法律,で,禁止
か,な,、
ぼく,は,大好き
),おもろい,@EOS@
て,もらい,ます
@BOS@,難しい,案件
大金,注ぎ込ん,だ
教え,て,欲しい
欲しい,です,@EOS@
@BOS@,間違え,て
良い,かも,@EOS@
を,嫌い,突発
で,ない,と
なのか,？,@EOS@
って,情熱,の
と,思い,ます
実行,と,環境
ない,です,よ
板,が,ある
大体,一緒,す
、,の,よう
し,な,@EOS@
ん,だろ,う
の,構造体,と
とか,見,て
た,の,は
比べ,たら,微妙
@BOS@,ハナコ,だけ
声優さん,ちょっと,不思議
て,”,暮らす
@BOS@,フリーランス,とか
切り開き,たい,に
燃え,てる,ん
その,中,から
おり,ます,！
ただ,他,ので
正確,に,は
よほど,偏屈,で
逆,に,今
@BOS@,席,が
。,リンク,くれ
うまく,いき,ませ
話,です,@EOS@
です,が,@EOS@
よ,おかしい,だろ
です,し,@EOS@
とか,見,たら
か,？,@EOS@
一番,上手,に
、,相手,を
に,に,L
れ,た,ので
と,まずい,から
抑え,きれ,ず
か,！,？
いいね,し,て
だ,と,マグカップ
っぽい,な,@EOS@
な,ん,だ
分配,で,、
、,チェック,くらい
いや,、,クラス
し,て,も
出す,けど,@EOS@
増やし,たい,けど
エディタ,が,素
ませ,ん,か
みたい,な,感じ
ヨーグルト,食う,か
とけ,よ,と
思う,よ,@EOS@
の,か,とか
ピック,し,ながら
ね,、,Google
殊更,に,強調
ない,の,は
パラメータ,という,こと
rust,の,プログラム
思い出し,てる,@EOS@
は,ない,」
なっ,た,か
ゆきこ,は,ゆるく
、,AC,、
セロトニン,の,捨て
いい,な,@EOS@
分から,ない,って
てる,やつ,触っ
いい,けど,説明
どの,くらい,の
近々,で,要る
する,つもり,で
ヤバ,すぎ,て
の,人,は
られ,て,た
の,を,直視
ある,こと,の
みたい,に,どんどん
で,は,？
ニュアンス,。,単語
真顔,って,怖い
rust,(,マクロ
コード,に,なる
使お,う,って
とめ,ちゃ,小さい
携帯,会社,、
何,を,どう
に対して,辻褄を合わせる,よう
改定,時,から
小言,を,思い出し
どう,やっ,て
@BOS@,よみ,まし
ない,んで,@EOS@
殴っ,た,@EOS@
飲み会,の,やるかやらないか
た,！,絶対
する,奴,が
で,も,人狼
頑張っ,て,み
じゃあ,そう,なのか
かっこいい,ぜ,…
が,責任,を
性格,も,良い
人間,へ,の
遠い,未来,から
。,神,か
の,話,です
ハイパーレクシア,だっ,た
し,多い,ので
ほど,時間,の
って,単純,に
ん,なら,人
ので,今,まで
じゃん,。,はい
て,良く,なっ
や,可読性,を
アレ,は,S式
と,しか,話さ
とか,ダイナモ,とか
を,し,まし
とか,アドレナリン,とか
は,マインドマップ,で
まで,自分,に
返り,値,は
全部,強い,人
で,謎,の
@BOS@,paypay,送れ
増やさ,なく,て
なんとも,にゃ,ん
@BOS@,原罪,を
ぼく,も,順当
、,まず,行ける
学費,も,自分
すごく,優しい,。
ない,ので,金
て,もち,か
〜,みたい,な
@BOS@,てか,zoom
ば,すぎ,@EOS@
やっぱ,天和,の
から,使っ,て
。,と,思っ
が,そう,です
が,８,な
